#Obsnum     XMEAN     YMEAN      DX      DY       xmean_g       ymean_g       DX_g       DY_g
97520     40.15      39.92       -0.88   -0.61      40.23    39.86     -1.31     -0.96
97521     40.06      40.08       -0.36   0.27      40.12    40.10     -0.71     0.38
97523     40.23      39.94       -1.34   -0.50      40.35    39.85     -2.03     -0.99
97524     40.12      40.00       -0.71   -0.17      40.16    39.95     -0.95     -0.46
97528     40.58      39.89       -3.34   -0.77      40.25    39.69     -1.45     -1.88
97529     40.17      39.89       -0.99   -0.77      40.23    39.72     -1.31     -1.69
97531     40.12      39.21       -0.71   -4.51      40.22    39.39     -1.25     -3.51
97532     39.90      39.15       0.55   -4.84      39.91    39.21     0.47     -4.49
97861     39.09      39.90       5.18   -0.72      39.10    39.74     5.10     -1.61
97863     39.04      40.04       5.47   0.05      39.06    40.02     5.34     -0.05
97864     38.28      40.55       9.81   2.86      38.47    39.97     8.74     -0.31
97870     40.04      39.00       -0.25   -5.67      40.11    38.99     -0.65     -5.73
97871     39.85      38.46       0.84   -8.64      39.82    38.86     1.03     -6.42
97993     39.12      39.96       5.01   -0.39      39.18    39.90     4.68     -0.74
97994     39.05      39.88       5.41   -0.83      39.03    39.71     5.52     -1.75
97999     40.16      39.15       -0.94   -4.84      40.31    39.29     -1.77     -4.10
98000     40.05      39.71       -0.31   -1.76      40.00    39.29     -0.04     -4.09
98006     39.93      39.22       0.38   -4.46      40.03    39.41     -0.21     -3.43
98011     39.96      40.10       0.21   0.38      39.91    40.11     0.52     0.45
98012     39.85      40.16       0.84   0.71      39.53    40.36     2.64     1.79
98686     39.19      39.86       4.61   -0.94      39.25    39.80     4.25     -1.29
98687     39.83      39.64       0.95   -2.15      39.61    39.15     2.23     -4.84
98691     40.00      40.01       -0.02   -0.11      39.91    40.01     0.50     -0.11
98692     39.54      39.33       2.61   -3.85      39.85    39.77     0.86     -1.43
98726     39.84      39.24       0.89   -4.35      39.80    39.41     1.10     -3.42
98727     39.88      39.10       0.66   -5.12      39.85    39.21     0.82     -4.51
98731     40.82      40.07       -4.71   0.22      40.71    40.12     -4.06     0.47
98732     40.94      40.04       -5.40   0.05      40.88    40.07     -5.07     0.19
98736     40.99      40.03       -5.68   -0.00      40.92    40.02     -5.26     -0.04
98737     41.09      39.38       -6.25   -3.58      41.18    39.73     -6.76     -1.67
98974     41.02      39.88       -5.85   -0.83      40.98    39.69     -5.61     -1.89
98975     41.35      39.76       -7.74   -1.49      41.40    39.47     -8.02     -3.09
99674     40.13      39.23       -0.76   -4.40      40.23    39.46     -1.33     -3.14
99675     40.11      39.93       -0.65   -0.55      40.12    39.80     -0.70     -1.27
99679     40.27      39.06       -1.57   -5.34      40.39    39.13     -2.23     -4.96
99680     40.16      38.94       -0.94   -6.00      40.25    38.87     -1.48     -6.39
99702     40.21      39.21       -1.22   -4.51      40.35    39.40     -2.04     -3.47
99703     40.04      39.22       -0.25   -4.46      40.13    39.51     -0.76     -2.89
